Name,Status,ID,Type,Impressions,Clickthroughs,Off-site Average Order Value,Off-site Conversion,Off-site Purchase Qty,Off-site Revenue,Off-site Revenue Per Mille,On-site Average Order Value,On-site Conversion,On-site Purchase Qty,On-site Revenue,On-site Revenue Per Mille
YouGarden Referral Banner,Inactive,yougarden-referral-banner,Web,7005,7,0,0,0,0,0,0,0,0,0,0
YouGarden 3 for 2 Bulb Packs,Inactive,yougarden-3-for-2-bulb-packs,Email,173190,897,33.56,0.01,9.0,302.02,1.74,0,0,0,0,0
YG Welcome Block - RC/RV,Inactive,yg-welcome-block-rcrv,Web,13776,0,0,0,0,0,0,0,0,0,0,0
YG Welcome Block - FTV - B,Inactive,yg-welcome-block-ftv-b,Web,17743,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM34889A,Inactive,yg-trees-and-shrubs-em34889a,Email,6,3,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3530E,Inactive,yg-trees-and-shrubs-em3530e,Email,12835,191,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3530D,Active,yg-trees-and-shrubs-em3530d,Email,92506,420,66.95,0.0,1.0,66.95,0.72,0,0,0,0,0
YG Trees and Shrubs EM3530C,Active,yg-trees-and-shrubs-em3530c,Email,33759,186,66.75,0.0,1.0,66.75,1.98,0,0,0,0,0
YG Trees and Shrubs EM3530B,Active,yg-trees-and-shrubs-em3530b,Email,43456,465,26.23,0.01,4.0,104.91999999999999,2.41,0,0,0,0,0
YG Trees and Shrubs EM3530A,Inactive,yg-trees-and-shrubs-em3530a,Email,7380,70,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510E,Active,yg-trees-and-shrubs-em3510e,Email,11122,121,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510D,Active,yg-trees-and-shrubs-em3510d,Email,95343,267,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3510C,Active,yg-trees-and-shrubs-em3510c,Email,38044,175,65.96,0.0,1.0,65.96,1.73,0,0,0,0,0
YG Trees and Shrubs EM3510B,Active,yg-trees-and-shrubs-em3510b,Email,38632,350,22.85,0.01,2.0,45.7,1.18,0,0,0,0,0
YG Trees and Shrubs EM3510A,Inactive,yg-trees-and-shrubs-em3510a,Email,6412,51,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3489F,Inactive,yg-trees-and-shrubs-em3489f,Email,1,0,0,0,0,0,0,0,0,0,0,0
YG Trees and Shrubs EM3489E,Active,yg-trees-and-shrubs-em3489e,Email,10107,109,91.72,0.01,1.0,91.72,9.07,0,0,0,0,0
YG Trees and Shrubs EM3489D,Active,yg-trees-and-shrubs-em3489d,Email,96334,368,41.98,0.0,1.0,41.98,0.44,0,0,0,0,0
YG Trees and Shrubs EM3489C,Active,yg-trees-and-shrubs-em3489c,Email,38054,109,22.93,0.0,1.0,22.93,0.6,0,0,0,0,0
YG Trees and Shrubs EM3489B,Active,yg-trees-and-shrubs-em3489b,Email,36864,343,42.97,0.0,1.0,42.97,1.17,0,0,0,0,0
YG Trees and Shrubs EM3489A,Active,yg-trees-and-shrubs-em3489a,Email,5991,41,0,0,0,0,0,0,0,0,0,0
